(-0.099174, 0.000000)
(-0.097667, 0.043412)
(-0.093193, 0.085505)
(-0.085887, 0.125000)
(-0.075972, 0.160697)
(-0.063748, 0.191511)
(-0.049587, 0.216506)
(-0.033919, 0.234923)
(-0.017221, 0.246202)
(-0.000000, 0.250000)
(0.016136, 0.246202)
(0.031781, 0.234923)
(0.046461, 0.216506)
(0.059729, 0.191511)
(0.071183, 0.160697)
(0.080473, 0.125000)
(0.087319, 0.085505)
(0.091511, 0.043412)
(0.092923, 0.000000)
(0.091511, -0.000614)
(0.087319, -0.001210)
(0.080473, -0.001769)
(0.071183, -0.002274)
(0.059729, -0.002710)
(0.046461, -0.003064)
(0.031781, -0.003324)
(0.016136, -0.003484)
(0.000000, -0.003538)
(-0.017221, -0.003484)
(-0.033919, -0.003324)
(-0.049587, -0.003064)
(-0.063748, -0.002710)
(-0.075972, -0.002274)
(-0.085887, -0.001769)
(-0.093193, -0.001210)
(-0.097667, -0.000614)
