(0.092635, 0.000000)
(0.091228, 0.043412)
(0.087048, 0.085505)
(0.080224, 0.125000)
(0.070963, 0.160697)
(0.059545, 0.191511)
(0.046318, 0.216506)
(0.031683, 0.234923)
(0.016086, 0.246202)
(0.000000, 0.250000)
(-0.043412, 0.246202)
(-0.085505, 0.234923)
(-0.125000, 0.216506)
(-0.160697, 0.191511)
(-0.191511, 0.160697)
(-0.216506, 0.125000)
(-0.234923, 0.085505)
(-0.246202, 0.043412)
(-0.250000, 0.000000)
(-0.246202, -0.041664)
(-0.234923, -0.082062)
(-0.216506, -0.119966)
(-0.191511, -0.154226)
(-0.160697, -0.183799)
(-0.125000, -0.207788)
(-0.085505, -0.225463)
(-0.043412, -0.236288)
(-0.000000, -0.239933)
(0.016086, -0.236288)
(0.031683, -0.225463)
(0.046318, -0.207788)
(0.059545, -0.183799)
(0.070963, -0.154226)
(0.080224, -0.119966)
(0.087048, -0.082062)
(0.091228, -0.041664)
